project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	suggested_latitude	suggested_longitude	issue
jbuf	65608	dbgi_001187	canonical	dbgi_001187		Lonicera xylosteum L.			7.1567926	46.79261	looks_swapped_ch_lat_lon	46.79261	7.1567926	coordinates_look_swapped_ch_lat_lon
jbuf	65609	dbgi_001178	canonical	dbgi_001178		Euonymus alatus Sieb.			7.1573157	46.792202	looks_swapped_ch_lat_lon	46.792202	7.1573157	coordinates_look_swapped_ch_lat_lon
jbuf	65610	dbgi_001177	canonical	dbgi_001177		Euonymus europaeus L.			7.1573076	46.792213	looks_swapped_ch_lat_lon	46.792213	7.1573076	coordinates_look_swapped_ch_lat_lon
jbuf	65611	dbgi_001185	canonical	dbgi_001185		Clematis heracleifolia DC.			7.1564727	46.79239	looks_swapped_ch_lat_lon	46.79239	7.1564727	coordinates_look_swapped_ch_lat_lon
jbuf	65612	dbgi_001188	canonical	dbgi_001188		Clematis recta L.			7.1564775	46.792377	looks_swapped_ch_lat_lon	46.792377	7.1564775	coordinates_look_swapped_ch_lat_lon
jbuf	65613	dbgi_001186	canonical	dbgi_001186		Clematis vitalba L.			7.156504	46.792355	looks_swapped_ch_lat_lon	46.792355	7.156504	coordinates_look_swapped_ch_lat_lon
jbuf	65614	dbgi_001184	canonical	dbgi_001184		Lonicera periclymenum L.			7.156883	46.792603	looks_swapped_ch_lat_lon	46.792603	7.156883	coordinates_look_swapped_ch_lat_lon
jbuf	65615	dbgi_001139	canonical	dbgi_001139		Lonicera caprifolium L.			7.156867	46.792603	looks_swapped_ch_lat_lon	46.792603	7.156867	coordinates_look_swapped_ch_lat_lon
jbuf	65616	dbgi_001176	canonical	dbgi_001176		Lonicera tatarica L.			7.1568427	46.792606	looks_swapped_ch_lat_lon	46.792606	7.1568427	coordinates_look_swapped_ch_lat_lon
jbuf	65617	dbgi_001183	canonical	dbgi_001183		Lonicera kamtschatica (Sevast.) Pojark. 'Maistar'			7.1568065	46.792614	looks_swapped_ch_lat_lon	46.792614	7.1568065	coordinates_look_swapped_ch_lat_lon
jbuf	65618	dbgi_001157	canonical	dbgi_001157		Euonymus fortunei Hand.- Mazz. 'Coloratus'			7.155511	46.793415	looks_swapped_ch_lat_lon	46.793415	7.155511	coordinates_look_swapped_ch_lat_lon
jbuf	65619	dbgi_001162	canonical	dbgi_001162		Clematis recta L.			7.156672	46.792995	looks_swapped_ch_lat_lon	46.792995	7.156672	coordinates_look_swapped_ch_lat_lon
jbuf	65620	dbgi_001175	canonical	dbgi_001175		Clematis viticella L.			7.156714	46.792854	looks_swapped_ch_lat_lon	46.792854	7.156714	coordinates_look_swapped_ch_lat_lon
jbuf	65621	dbgi_001182	canonical	dbgi_001182		Clematis alpina (L.) Mill.			7.1564693	46.79277	looks_swapped_ch_lat_lon	46.79277	7.1564693	coordinates_look_swapped_ch_lat_lon
jbuf	65622	dbgi_001166	canonical	dbgi_001166		Lonicera caerulea L.			7.1562123	46.79258	looks_swapped_ch_lat_lon	46.79258	7.1562123	coordinates_look_swapped_ch_lat_lon
jbuf	65623	dbgi_001158	canonical	dbgi_001158		Lonicera alpigena L.			7.1563687	46.792652	looks_swapped_ch_lat_lon	46.792652	7.1563687	coordinates_look_swapped_ch_lat_lon
jbuf	65624	dbgi_001174	canonical	dbgi_001174		Lonicera nigra L.			7.156427	46.792755	looks_swapped_ch_lat_lon	46.792755	7.156427	coordinates_look_swapped_ch_lat_lon
jbuf	65625	dbgi_001156	canonical	dbgi_001156		Clematis alpina (L.) Mill.			7.1561465	46.792976	looks_swapped_ch_lat_lon	46.792976	7.1561465	coordinates_look_swapped_ch_lat_lon
jbuf	65626	dbgi_001169	canonical	dbgi_001169		Lonicera japonica Thunb. 'Halliana'			7.155334	46.793	looks_swapped_ch_lat_lon	46.793	7.155334	coordinates_look_swapped_ch_lat_lon
jbuf	65627	dbgi_003185	canonical	dbgi_003185	Agrimonia eupatoria L.			20240625134458	7.157249	46.79255	looks_swapped_ch_lat_lon	46.79255	7.157249	coordinates_look_swapped_ch_lat_lon
jbuf	65628	dbgi_003155	canonical	dbgi_003155	Rubus idaeus L. 'Autumn Bliss'			20240625135158	7.157231	46.79254	looks_swapped_ch_lat_lon	46.79254	7.157231	coordinates_look_swapped_ch_lat_lon
jbuf	65629	dbgi_003196	canonical	dbgi_003196	Waldsteinia fragarioides Tratt.			20240625135923	7.1572285	46.792458	looks_swapped_ch_lat_lon	46.792458	7.1572285	coordinates_look_swapped_ch_lat_lon
jbuf	65630	dbgi_003223	canonical	dbgi_003223	Rosa glauca Pourr.			20240625140558	7.1572824	46.79245	looks_swapped_ch_lat_lon	46.79245	7.1572824	coordinates_look_swapped_ch_lat_lon
jbuf	65631	dbgi_003101	canonical	dbgi_003101	Stephanandra incisa (Thunb.) Zabel 'Crispa'			20240625141040	7.1573086	46.79241	looks_swapped_ch_lat_lon	46.79241	7.1573086	coordinates_look_swapped_ch_lat_lon
jbuf	65632	dbgi_003214	canonical	dbgi_003214	Hyoscyamus niger L.			20240625141853	7.15671	46.792603	looks_swapped_ch_lat_lon	46.792603	7.15671	coordinates_look_swapped_ch_lat_lon
jbuf	65633	dbgi_003180	canonical	dbgi_003180	Petunia integrifolia (Hook.) Schinz et Thell.			20240625142337	7.1567	46.792587	looks_swapped_ch_lat_lon	46.792587	7.1567	coordinates_look_swapped_ch_lat_lon
jbuf	65634	dbgi	other_noncanonical		Agrimonia eupatoria L.			20240625134458	7.157249	46.79255	looks_swapped_ch_lat_lon	46.79255	7.157249	coordinates_look_swapped_ch_lat_lon
jbuf	65635	dbgi_1	short_numeric_suffix	dbgi_000001	Rubus idaeus L. 'Autumn Bliss'			20240625135158	7.157231	46.79254	looks_swapped_ch_lat_lon	46.79254	7.157231	coordinates_look_swapped_ch_lat_lon
jbuf	65637	dbgi_3	short_numeric_suffix	dbgi_000003	Rosa glauca Pourr.			20240625140558	7.1572824	46.79245	looks_swapped_ch_lat_lon	46.79245	7.1572824	coordinates_look_swapped_ch_lat_lon
jbuf	65638	dbgi_4	short_numeric_suffix	dbgi_000004	Stephanandra incisa (Thunb.) Zabel 'Crispa'			20240625141040	7.1573086	46.79241	looks_swapped_ch_lat_lon	46.79241	7.1573086	coordinates_look_swapped_ch_lat_lon
jbuf	65639	dbgi_5	short_numeric_suffix	dbgi_000005	Hyoscyamus niger L.			20240625141853	7.15671	46.792603	looks_swapped_ch_lat_lon	46.792603	7.15671	coordinates_look_swapped_ch_lat_lon
jbuf	65640	dbgi_6	short_numeric_suffix	dbgi_000006	Petunia integrifolia (Hook.) Schinz et Thell.			20240625142337	7.1567	46.792587	looks_swapped_ch_lat_lon	46.792587	7.1567	coordinates_look_swapped_ch_lat_lon
jbuf	65641	dbgi_003140	canonical	dbgi_003140	Papaver somniferum L.			20240625134025	7.1564956	46.792496	looks_swapped_ch_lat_lon	46.792496	7.1564956	coordinates_look_swapped_ch_lat_lon
jbuf	65642	dbgi_003198	canonical	dbgi_003198	Corydalis flexuosa Franch.			20240625135055	7.1564803	46.79245	looks_swapped_ch_lat_lon	46.79245	7.1564803	coordinates_look_swapped_ch_lat_lon
jbuf	65643	dbgi_003179	canonical	dbgi_003179	Lamprocapnos spectabilis (L.) Fukuhara			20240625140019	7.156495	46.792465	looks_swapped_ch_lat_lon	46.792465	7.156495	coordinates_look_swapped_ch_lat_lon
jbuf	65644	dbgi_003187	canonical	dbgi_003187	Glaucium flavum Crantz			20240625140737	7.156496	46.792477	looks_swapped_ch_lat_lon	46.792477	7.156496	coordinates_look_swapped_ch_lat_lon
jbuf	65645	dbgi_003164	canonical	dbgi_003164	Glaucium flavum Crantz			20240625141250	7.1564975	46.79247	looks_swapped_ch_lat_lon	46.79247	7.1564975	coordinates_look_swapped_ch_lat_lon
jbuf	65646	dbgi_003154	canonical	dbgi_003154	Datura stramonium L. var. stramonium			20240625141826	7.156672	46.792538	looks_swapped_ch_lat_lon	46.792538	7.156672	coordinates_look_swapped_ch_lat_lon
jbuf	65647	dbgi_003151	canonical	dbgi_003151	Lycopersicon esculentum Mill.			20240625142356	7.1565866	46.79255	looks_swapped_ch_lat_lon	46.79255	7.1565866	coordinates_look_swapped_ch_lat_lon
jbuf	65648	dbgi_003118	canonical	dbgi_003118		Clematis alpina (L.) Mill.			7.1564703	46.79277	looks_swapped_ch_lat_lon	46.79277	7.1564703	coordinates_look_swapped_ch_lat_lon
jbuf	65649	dbgi_003082	canonical	dbgi_003082		Rhododendron hirsutum L.			7.1564717	46.79278	looks_swapped_ch_lat_lon	46.79278	7.1564717	coordinates_look_swapped_ch_lat_lon
jbuf	65650	dbgi_003141	canonical	dbgi_003141		Ruscus aculeatus L.			7.156466	46.792767	looks_swapped_ch_lat_lon	46.792767	7.156466	coordinates_look_swapped_ch_lat_lon
jbuf	65651	dbgi_003137	canonical	dbgi_003137		Polygonatum multiflorum (L.) All.			7.1564655	46.792767	looks_swapped_ch_lat_lon	46.792767	7.1564655	coordinates_look_swapped_ch_lat_lon
jbuf	65652	dbgi_003182	canonical	dbgi_003182		Ranunculus lanuginosus L.			7.1564717	46.792767	looks_swapped_ch_lat_lon	46.792767	7.1564717	coordinates_look_swapped_ch_lat_lon
jbuf	65653	dbgi_003106	canonical	dbgi_003106		Orobanche hederae Duby			7.1564736	46.792767	looks_swapped_ch_lat_lon	46.792767	7.1564736	coordinates_look_swapped_ch_lat_lon
jbuf	65654	dbgi_003145	canonical	dbgi_003145		Rosa pendulina L.			7.1564674	46.792732	looks_swapped_ch_lat_lon	46.792732	7.1564674	coordinates_look_swapped_ch_lat_lon
jbuf	65655	dbgi_003172	canonical	dbgi_003172		Lonicera nigra L.			7.1564393	46.79279	looks_swapped_ch_lat_lon	46.79279	7.1564393	coordinates_look_swapped_ch_lat_lon
jbuf	65656	dbgi_003199	canonical	dbgi_003199		Luzula sylvatica Gaudin			7.156448	46.79283	looks_swapped_ch_lat_lon	46.79283	7.156448	coordinates_look_swapped_ch_lat_lon
jbuf	65657	dbgi_003205	canonical	dbgi_003205		Cardamine trifolia L.			7.156512	46.792824	looks_swapped_ch_lat_lon	46.792824	7.156512	coordinates_look_swapped_ch_lat_lon
jbuf	65658	dbgi_003222	canonical	dbgi_003222		Cardamine trifolia L.			7.156488	46.792892	looks_swapped_ch_lat_lon	46.792892	7.156488	coordinates_look_swapped_ch_lat_lon
jbuf	65659	dbgi_003099	canonical	dbgi_003099		Alchemilla fissa Gnther et Schummel			7.15648	46.792854	looks_swapped_ch_lat_lon	46.792854	7.15648	coordinates_look_swapped_ch_lat_lon
jbuf	65660	dbgi_003216	canonical	dbgi_003216		Alchemilla fissa Gnther et Schummel			7.1564727	46.792862	looks_swapped_ch_lat_lon	46.792862	7.1564727	coordinates_look_swapped_ch_lat_lon
jbuf	65661	dbgi_003203	canonical	dbgi_003203		Hypericum maculatum Crantz subsp. maculatum			7.1565213	46.7928	looks_swapped_ch_lat_lon	46.7928	7.1565213	coordinates_look_swapped_ch_lat_lon
jbuf	65662	dbgi_003081	canonical	dbgi_003081		Meconopsis cambrica (L.) Vig.			7.1565127	46.792797	looks_swapped_ch_lat_lon	46.792797	7.1565127	coordinates_look_swapped_ch_lat_lon
jbuf	65663	dbgi_003088	canonical	dbgi_003088		Anemone ranunculoides L.			7.156516	46.792793	looks_swapped_ch_lat_lon	46.792793	7.156516	coordinates_look_swapped_ch_lat_lon
jbuf	65664	dbgi_003160	canonical	dbgi_003160		Pinus cembra L.			7.1564445	46.79274	looks_swapped_ch_lat_lon	46.79274	7.1564445	coordinates_look_swapped_ch_lat_lon
jbuf	65665	dbgi_003076	canonical	dbgi_003076		aaunknown			7.1565332	46.792805	looks_swapped_ch_lat_lon	46.792805	7.1565332	coordinates_look_swapped_ch_lat_lon
jbuf	65666	dbgi_003105	canonical	dbgi_003105		Silene dioica (L.) Clairv.			7.156533	46.79281	looks_swapped_ch_lat_lon	46.79281	7.156533	coordinates_look_swapped_ch_lat_lon
jbuf	65667	dbgi_003127	canonical	dbgi_003127		Achillea macrophylla L.			7.1564927	46.79281	looks_swapped_ch_lat_lon	46.79281	7.1564927	coordinates_look_swapped_ch_lat_lon
jbuf	65668	dbgi_003107	canonical	dbgi_003107		Stachys officinalis (L.) Trevis. s. l.			7.1565337	46.792828	looks_swapped_ch_lat_lon	46.792828	7.1565337	coordinates_look_swapped_ch_lat_lon
jbuf	65669	dbgi_003072	canonical	dbgi_003072		Silene viscaria (L.) Borkh.			7.1565065	46.79273	looks_swapped_ch_lat_lon	46.79273	7.1565065	coordinates_look_swapped_ch_lat_lon
jbuf	65670	dbgi_003158	canonical	dbgi_003158		Centaurea montana L.			7.1565065	46.79273	looks_swapped_ch_lat_lon	46.79273	7.1565065	coordinates_look_swapped_ch_lat_lon
jbuf	65671	dbgi_003090	canonical	dbgi_003090		Larix decidua L.			7.1565375	46.79275	looks_swapped_ch_lat_lon	46.79275	7.1565375	coordinates_look_swapped_ch_lat_lon
jbuf	65672	dbgi_003218	canonical	dbgi_003218		aaunknown			7.1565285	46.792744	looks_swapped_ch_lat_lon	46.792744	7.1565285	coordinates_look_swapped_ch_lat_lon
jbuf	65673	dbgi_003128	canonical	dbgi_003128		Helianthemum nummularium subsp. obscurum (Celak.) Holub			7.1563687	46.792686	looks_swapped_ch_lat_lon	46.792686	7.1563687	coordinates_look_swapped_ch_lat_lon
jbuf	65674	dbgi_003085	canonical	dbgi_003085		Asplenium trichomanes L.			7.1563873	46.792683	looks_swapped_ch_lat_lon	46.792683	7.1563873	coordinates_look_swapped_ch_lat_lon
jbuf	65675	dbgi_003219	canonical	dbgi_003219		Stachys recta L. subsp. recta			7.156426	46.792706	looks_swapped_ch_lat_lon	46.792706	7.156426	coordinates_look_swapped_ch_lat_lon
jbuf	65676	dbgi_003146	canonical	dbgi_003146		Stachys alpina L.			7.1565247	46.79281	looks_swapped_ch_lat_lon	46.79281	7.1565247	coordinates_look_swapped_ch_lat_lon
jbuf	65677	dbgi_003168	canonical	dbgi_003168		Polygonatum multiflorum (L.) All.			7.1565723	46.79274	looks_swapped_ch_lat_lon	46.79274	7.1565723	coordinates_look_swapped_ch_lat_lon
jbuf	65678	dbgi_001126	canonical	dbgi_001126		Aconitum vulparia aggr.			7.1564517	46.79245	looks_swapped_ch_lat_lon	46.79245	7.1564517	coordinates_look_swapped_ch_lat_lon
jbuf	65679	dbgi_001123	canonical	dbgi_001123		Aconitum variegatum L.			7.1564527	46.792458	looks_swapped_ch_lat_lon	46.792458	7.1564527	coordinates_look_swapped_ch_lat_lon
jbuf	65680	dbgi_001135	canonical	dbgi_001135		Aconitum forrestii Stapf			7.156461	46.792454	looks_swapped_ch_lat_lon	46.792454	7.156461	coordinates_look_swapped_ch_lat_lon
jbuf	65681	dbgi_001118	canonical	dbgi_001118		Aconitum carmichaelii Debeaux			7.1564655	46.79246	looks_swapped_ch_lat_lon	46.79246	7.1564655	coordinates_look_swapped_ch_lat_lon
jbuf	65682	dbgi_001128	canonical	dbgi_001128		Delphinium elatum L.			7.156454	46.792473	looks_swapped_ch_lat_lon	46.792473	7.156454	coordinates_look_swapped_ch_lat_lon
jbuf	65683	dbgi_001114	canonical	dbgi_001114		Delphinium caucasicum C.A.Mey			7.1564636	46.792473	looks_swapped_ch_lat_lon	46.792473	7.1564636	coordinates_look_swapped_ch_lat_lon
jbuf	65684	dbgi_000911	canonical	dbgi_000911		Ranunculus auricomus aggr.			7.1565013	46.792347	looks_swapped_ch_lat_lon	46.792347	7.1565013	coordinates_look_swapped_ch_lat_lon
jbuf	65685	dbgi_001052	canonical	dbgi_001052		Ranunculus acris subsp. friesianus (Jord.) Syme			7.1564984	46.792366	looks_swapped_ch_lat_lon	46.792366	7.1564984	coordinates_look_swapped_ch_lat_lon
jbuf	65686	dbgi_001133	canonical	dbgi_001133		Ranunculus aconitifolius L.			7.1565094	46.79235	looks_swapped_ch_lat_lon	46.79235	7.1565094	coordinates_look_swapped_ch_lat_lon
jbuf	65687	dbgi_001124	canonical	dbgi_001124		Ranunculus repens L.			7.1565065	46.79234	looks_swapped_ch_lat_lon	46.79234	7.1565065	coordinates_look_swapped_ch_lat_lon
jbuf	65688	dbgi_001130	canonical	dbgi_001130		Ranunculus gramineus L.			7.15651	46.792336	looks_swapped_ch_lat_lon	46.792336	7.15651	coordinates_look_swapped_ch_lat_lon
jbuf	65689	dbgi_001005	canonical	dbgi_001005		Ranunculus arvensis L.			7.156512	46.79233	looks_swapped_ch_lat_lon	46.79233	7.156512	coordinates_look_swapped_ch_lat_lon
jbuf	65690	dbgi_001131	canonical	dbgi_001131		Ranunculus muricatus L.			7.1565156	46.792324	looks_swapped_ch_lat_lon	46.792324	7.1565156	coordinates_look_swapped_ch_lat_lon
jbuf	65691	dbgi_001137	canonical	dbgi_001137		Aconitum napellus L. s.l.			7.1566734	46.79298	looks_swapped_ch_lat_lon	46.79298	7.1566734	coordinates_look_swapped_ch_lat_lon
