project	field_data_id	sample_id	sample_id_class	canonical_candidate	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	primary_taxon_fields_empty	field.MatchedCanonical	field.TaxonId	field.catalogue_number	field.collector_fullname	field.collector_inat	field.collector_orcid	field.comment_eco	field.comment_env	field.date	field.date_created	field.date_updated	field.extracted_id	field.geometry	field.herbivory_percent	field.id	field.inat_upload	field.ipen	field.is_wild	field.latitude	field.longitude	field.match_name	field.name_proposition	field.no_name_on_list	field.observation_subject	field.ott_id	field.picture_cut	field.picture_detail	field.picture_free	field.picture_general	field.picture_panel	field.picture_panel_label	field.project	field.qfield_project	field.rank	field.sample_id	field.sample_name	field.soil_type	field.taxon_name	field.taxon_name_final	field.temperature_°C	field.unique_id	field.unknown	field.user_created	field.user_updated	field.uuid_qfield	field.weather	field.wikidataID	field.x_coord	field.y_coord	directus_row_json
droguier_jbn	74331	drog_000167	canonical		Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		taxon_name;sample_name;taxon_name_final				Emmanuel Defossez	@manu_dfz	0000-0002-3279-9190			20260123090952	2026-01-29T15:12:37.870Z					74331	0		1				Arctostaphylos uva-ursi	1	Stems		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000167_04.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000167_03.jpg		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000167_02.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000167_01.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000167_05.jpg		droguier_jbn		drog_000167								053e0368-4ed8-4569-a070-81a22ad13957							"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Emmanuel Defossez"", ""collector_inat"": ""@manu_dfz"", ""collector_orcid"": ""0000-0002-3279-9190"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20260123090952"", ""date_created"": ""2026-01-29T15:12:37.870Z"", ""date_updated"": null, ""extracted_id"": null, ""geometry"": null, ""herbivory_percent"": null, ""id"": 74331, ""inat_upload"": 0, ""ipen"": null, ""is_wild"": 1, ""latitude"": null, ""longitude"": null, ""match_name"": null, ""name_proposition"": ""Arctostaphylos uva-ursi"", ""no_name_on_list"": 1, ""observation_subject"": ""Stems"", ""ott_id"": null, ""picture_cut"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000167_04.jpg"", ""picture_detail"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000167_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000167_02.jpg"", ""picture_panel"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000167_01.jpg"", ""picture_panel_label"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000167_05.jpg"", ""project"": null, ""qfield_project"": ""droguier_jbn"", ""rank"": null, ""sample_id"": ""drog_000167"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": null, ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": null, ""y_coord"": null}"
droguier_jbn	74332	drog_000184	canonical		Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		taxon_name;sample_name;taxon_name_final				Emmanuel Defossez	@manu_dfz	0000-0002-3279-9190			20260123091455	2026-01-29T15:12:37.938Z					74332	0		1				Arctostaphylos uva-ursi	1	Leaf		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_04.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_03.jpg		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_02.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_01.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_05.jpg		droguier_jbn		drog_000184								053e0368-4ed8-4569-a070-81a22ad13957							"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Emmanuel Defossez"", ""collector_inat"": ""@manu_dfz"", ""collector_orcid"": ""0000-0002-3279-9190"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20260123091455"", ""date_created"": ""2026-01-29T15:12:37.938Z"", ""date_updated"": null, ""extracted_id"": null, ""geometry"": null, ""herbivory_percent"": null, ""id"": 74332, ""inat_upload"": 0, ""ipen"": null, ""is_wild"": 1, ""latitude"": null, ""longitude"": null, ""match_name"": null, ""name_proposition"": ""Arctostaphylos uva-ursi"", ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_04.jpg"", ""picture_detail"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_02.jpg"", ""picture_panel"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_01.jpg"", ""picture_panel_label"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_05.jpg"", ""project"": null, ""qfield_project"": ""droguier_jbn"", ""rank"": null, ""sample_id"": ""drog_000184"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": null, ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": null, ""y_coord"": null}"
droguier_jbn	74333	drog_000054	canonical		Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		taxon_name;sample_name;taxon_name_final				Emmanuel Defossez	@manu_dfz	0000-0002-3279-9190			20260123091957	2026-01-29T15:12:37.978Z					74333	0		1				Arctostaphylos uva-ursi	1	Leaf		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000054_04.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000054_03.jpg		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000054_02.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000054_01.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000054_05.jpg		droguier_jbn		drog_000054								053e0368-4ed8-4569-a070-81a22ad13957							"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Emmanuel Defossez"", ""collector_inat"": ""@manu_dfz"", ""collector_orcid"": ""0000-0002-3279-9190"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20260123091957"", ""date_created"": ""2026-01-29T15:12:37.978Z"", ""date_updated"": null, ""extracted_id"": null, ""geometry"": null, ""herbivory_percent"": null, ""id"": 74333, ""inat_upload"": 0, ""ipen"": null, ""is_wild"": 1, ""latitude"": null, ""longitude"": null, ""match_name"": null, ""name_proposition"": ""Arctostaphylos uva-ursi"", ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000054_04.jpg"", ""picture_detail"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000054_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000054_02.jpg"", ""picture_panel"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000054_01.jpg"", ""picture_panel_label"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000054_05.jpg"", ""project"": null, ""qfield_project"": ""droguier_jbn"", ""rank"": null, ""sample_id"": ""drog_000054"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": null, ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": null, ""y_coord"": null}"
droguier_jbn	74334	drog_000197	canonical		Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		taxon_name;sample_name;taxon_name_final				Emmanuel Defossez	@manu_dfz	0000-0002-3279-9190			20260123092349	2026-01-29T15:12:38.035Z					74334	0		1				Arctostaphylos uva-ursi	1	Leaf		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000197_04.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000197_03.jpg		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000197_02.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000197_01.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000197_05.jpg		droguier_jbn		drog_000197								053e0368-4ed8-4569-a070-81a22ad13957							"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Emmanuel Defossez"", ""collector_inat"": ""@manu_dfz"", ""collector_orcid"": ""0000-0002-3279-9190"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20260123092349"", ""date_created"": ""2026-01-29T15:12:38.035Z"", ""date_updated"": null, ""extracted_id"": null, ""geometry"": null, ""herbivory_percent"": null, ""id"": 74334, ""inat_upload"": 0, ""ipen"": null, ""is_wild"": 1, ""latitude"": null, ""longitude"": null, ""match_name"": null, ""name_proposition"": ""Arctostaphylos uva-ursi"", ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000197_04.jpg"", ""picture_detail"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000197_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000197_02.jpg"", ""picture_panel"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000197_01.jpg"", ""picture_panel_label"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000197_05.jpg"", ""project"": null, ""qfield_project"": ""droguier_jbn"", ""rank"": null, ""sample_id"": ""drog_000197"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": null, ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": null, ""y_coord"": null}"
droguier_jbn	74335	drog_000144	canonical		Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		taxon_name;sample_name;taxon_name_final				Emmanuel Defossez	@manu_dfz	0000-0002-3279-9190			20260123092625	2026-01-29T15:12:38.093Z					74335	0		1				Arctostaphylos uva-ursi	1	Leaf		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000144_04.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000144_03.jpg		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000144_02.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000144_01.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000144_05.jpg		droguier_jbn		drog_000144								053e0368-4ed8-4569-a070-81a22ad13957							"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Emmanuel Defossez"", ""collector_inat"": ""@manu_dfz"", ""collector_orcid"": ""0000-0002-3279-9190"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20260123092625"", ""date_created"": ""2026-01-29T15:12:38.093Z"", ""date_updated"": null, ""extracted_id"": null, ""geometry"": null, ""herbivory_percent"": null, ""id"": 74335, ""inat_upload"": 0, ""ipen"": null, ""is_wild"": 1, ""latitude"": null, ""longitude"": null, ""match_name"": null, ""name_proposition"": ""Arctostaphylos uva-ursi"", ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000144_04.jpg"", ""picture_detail"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000144_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000144_02.jpg"", ""picture_panel"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000144_01.jpg"", ""picture_panel_label"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000144_05.jpg"", ""project"": null, ""qfield_project"": ""droguier_jbn"", ""rank"": null, ""sample_id"": ""drog_000144"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": null, ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": null, ""y_coord"": null}"
droguier_jbn	74336	drog_000149	canonical		Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		taxon_name;sample_name;taxon_name_final				Emmanuel Defossez	@manu_dfz	0000-0002-3279-9190			20260123092827	2026-01-29T15:12:38.146Z					74336	0		1				Arctostaphylos uva-ursi	1	Leaf		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000149_04.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000149_03.jpg		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000149_02.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000149_01.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000149_05.jpg		droguier_jbn		drog_000149								053e0368-4ed8-4569-a070-81a22ad13957							"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Emmanuel Defossez"", ""collector_inat"": ""@manu_dfz"", ""collector_orcid"": ""0000-0002-3279-9190"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20260123092827"", ""date_created"": ""2026-01-29T15:12:38.146Z"", ""date_updated"": null, ""extracted_id"": null, ""geometry"": null, ""herbivory_percent"": null, ""id"": 74336, ""inat_upload"": 0, ""ipen"": null, ""is_wild"": 1, ""latitude"": null, ""longitude"": null, ""match_name"": null, ""name_proposition"": ""Arctostaphylos uva-ursi"", ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000149_04.jpg"", ""picture_detail"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000149_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000149_02.jpg"", ""picture_panel"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000149_01.jpg"", ""picture_panel_label"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000149_05.jpg"", ""project"": null, ""qfield_project"": ""droguier_jbn"", ""rank"": null, ""sample_id"": ""drog_000149"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": null, ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": null, ""y_coord"": null}"
droguier_jbn	74337	drog_000082	canonical		Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		taxon_name;sample_name;taxon_name_final				Emmanuel Defossez	@manu_dfz	0000-0002-3279-9190			20260123093054	2026-01-29T15:12:38.204Z					74337	0		1				Arctostaphylos uva-ursi	1	Leaf		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000082_04.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000082_03.jpg		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000082_02.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000082_01.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000082_05.jpg		droguier_jbn		drog_000082								053e0368-4ed8-4569-a070-81a22ad13957							"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Emmanuel Defossez"", ""collector_inat"": ""@manu_dfz"", ""collector_orcid"": ""0000-0002-3279-9190"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20260123093054"", ""date_created"": ""2026-01-29T15:12:38.204Z"", ""date_updated"": null, ""extracted_id"": null, ""geometry"": null, ""herbivory_percent"": null, ""id"": 74337, ""inat_upload"": 0, ""ipen"": null, ""is_wild"": 1, ""latitude"": null, ""longitude"": null, ""match_name"": null, ""name_proposition"": ""Arctostaphylos uva-ursi"", ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000082_04.jpg"", ""picture_detail"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000082_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000082_02.jpg"", ""picture_panel"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000082_01.jpg"", ""picture_panel_label"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000082_05.jpg"", ""project"": null, ""qfield_project"": ""droguier_jbn"", ""rank"": null, ""sample_id"": ""drog_000082"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": null, ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": null, ""y_coord"": null}"
droguier_jbn	74338	drog_000136	canonical		Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		taxon_name;sample_name;taxon_name_final				Emmanuel Defossez	@manu_dfz	0000-0002-3279-9190			20260123093250	2026-01-29T15:12:38.264Z					74338	0		1				Arctostaphylos uva-ursi	1	Leaf		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000136_04.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000136_03.jpg		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000136_02.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000136_01.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000136_05.jpg		droguier_jbn		drog_000136								053e0368-4ed8-4569-a070-81a22ad13957							"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Emmanuel Defossez"", ""collector_inat"": ""@manu_dfz"", ""collector_orcid"": ""0000-0002-3279-9190"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20260123093250"", ""date_created"": ""2026-01-29T15:12:38.264Z"", ""date_updated"": null, ""extracted_id"": null, ""geometry"": null, ""herbivory_percent"": null, ""id"": 74338, ""inat_upload"": 0, ""ipen"": null, ""is_wild"": 1, ""latitude"": null, ""longitude"": null, ""match_name"": null, ""name_proposition"": ""Arctostaphylos uva-ursi"", ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000136_04.jpg"", ""picture_detail"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000136_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000136_02.jpg"", ""picture_panel"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000136_01.jpg"", ""picture_panel_label"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000136_05.jpg"", ""project"": null, ""qfield_project"": ""droguier_jbn"", ""rank"": null, ""sample_id"": ""drog_000136"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": null, ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": null, ""y_coord"": null}"
droguier_jbn	74339	drog_000211	canonical		Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		taxon_name;sample_name;taxon_name_final				Emmanuel Defossez	@manu_dfz	0000-0002-3279-9190			20260123093442	2026-01-29T15:12:38.321Z					74339	0		1				Arctostaphylos uva-ursi	1	Leaf		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000211_04.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000211_03.jpg		DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000211_02.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000211_01.jpg	DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000211_05.jpg		droguier_jbn		drog_000211								053e0368-4ed8-4569-a070-81a22ad13957							"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Emmanuel Defossez"", ""collector_inat"": ""@manu_dfz"", ""collector_orcid"": ""0000-0002-3279-9190"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20260123093442"", ""date_created"": ""2026-01-29T15:12:38.321Z"", ""date_updated"": null, ""extracted_id"": null, ""geometry"": null, ""herbivory_percent"": null, ""id"": 74339, ""inat_upload"": 0, ""ipen"": null, ""is_wild"": 1, ""latitude"": null, ""longitude"": null, ""match_name"": null, ""name_proposition"": ""Arctostaphylos uva-ursi"", ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000211_04.jpg"", ""picture_detail"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000211_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000211_02.jpg"", ""picture_panel"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000211_01.jpg"", ""picture_panel_label"": ""DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000211_05.jpg"", ""project"": null, ""qfield_project"": ""droguier_jbn"", ""rank"": null, ""sample_id"": ""drog_000211"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": null, ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": null, ""y_coord"": null}"
droguier_jbn	74340	drog_000059	canonical		Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		taxon_name;sample_name;taxon_name_final				Emmanuel Defossez	@manu_dfz	0000-0002-3279-9190			20260123093910	2026-01-29T15:12:38.381Z					74340	0		1				Equisetum arvense	1	Leaf		DCIM/droguier_jbn/Equisetum arvense_drog_000059_04.jpg	DCIM/droguier_jbn/Equisetum arvense_drog_000059_03.jpg		DCIM/droguier_jbn/Equisetum arvense_drog_000059_02.jpg	DCIM/droguier_jbn/Equisetum arvense_drog_000059_01.jpg	DCIM/droguier_jbn/Equisetum arvense_drog_000059_05.jpg		droguier_jbn		drog_000059								053e0368-4ed8-4569-a070-81a22ad13957							"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Emmanuel Defossez"", ""collector_inat"": ""@manu_dfz"", ""collector_orcid"": ""0000-0002-3279-9190"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20260123093910"", ""date_created"": ""2026-01-29T15:12:38.381Z"", ""date_updated"": null, ""extracted_id"": null, ""geometry"": null, ""herbivory_percent"": null, ""id"": 74340, ""inat_upload"": 0, ""ipen"": null, ""is_wild"": 1, ""latitude"": null, ""longitude"": null, ""match_name"": null, ""name_proposition"": ""Equisetum arvense"", ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/droguier_jbn/Equisetum arvense_drog_000059_04.jpg"", ""picture_detail"": ""DCIM/droguier_jbn/Equisetum arvense_drog_000059_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/droguier_jbn/Equisetum arvense_drog_000059_02.jpg"", ""picture_panel"": ""DCIM/droguier_jbn/Equisetum arvense_drog_000059_01.jpg"", ""picture_panel_label"": ""DCIM/droguier_jbn/Equisetum arvense_drog_000059_05.jpg"", ""project"": null, ""qfield_project"": ""droguier_jbn"", ""rank"": null, ""sample_id"": ""drog_000059"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": null, ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": null, ""y_coord"": null}"
